index,R_angstrom,R_bohr,xyz_file
0,0.40000000,0.755890450183,geometries/h2_000_0.40A.xyz
1,0.45000000,0.850376756456,geometries/h2_001_0.45A.xyz
2,0.50000000,0.944863062729,geometries/h2_002_0.50A.xyz
3,0.55000000,1.039349369002,geometries/h2_003_0.55A.xyz
4,0.60000000,1.133835675275,geometries/h2_004_0.60A.xyz
5,0.65000000,1.228321981548,geometries/h2_005_0.65A.xyz
6,0.68000000,1.285013765311,geometries/h2_006_0.68A.xyz
7,0.70000000,1.322808287820,geometries/h2_007_0.70A.xyz
8,0.72000000,1.360602810330,geometries/h2_008_0.72A.xyz
9,0.74000000,1.398397332839,geometries/h2_009_0.74A.xyz
10,0.76000000,1.436191855348,geometries/h2_010_0.76A.xyz
11,0.78000000,1.473986377857,geometries/h2_011_0.78A.xyz
12,0.80000000,1.511780900366,geometries/h2_012_0.80A.xyz
13,0.85000000,1.606267206639,geometries/h2_013_0.85A.xyz
14,0.90000000,1.700753512912,geometries/h2_014_0.90A.xyz
15,0.95000000,1.795239819185,geometries/h2_015_0.95A.xyz
16,1.00000000,1.889726125458,geometries/h2_016_1.00A.xyz
17,1.10000000,2.078698738004,geometries/h2_017_1.10A.xyz
18,1.20000000,2.267671350549,geometries/h2_018_1.20A.xyz
19,1.30000000,2.456643963095,geometries/h2_019_1.30A.xyz
20,1.40000000,2.645616575641,geometries/h2_020_1.40A.xyz
21,1.50000000,2.834589188187,geometries/h2_021_1.50A.xyz
22,1.60000000,3.023561800733,geometries/h2_022_1.60A.xyz
23,1.80000000,3.401507025824,geometries/h2_023_1.80A.xyz
24,2.00000000,3.779452250916,geometries/h2_024_2.00A.xyz
25,2.20000000,4.157397476007,geometries/h2_025_2.20A.xyz
26,2.50000000,4.724315313645,geometries/h2_026_2.50A.xyz
27,3.00000000,5.669178376373,geometries/h2_027_3.00A.xyz
28,4.00000000,7.558904501831,geometries/h2_028_4.00A.xyz
29,5.00000000,9.448630627289,geometries/h2_029_5.00A.xyz
30,6.00000000,11.338356752747,geometries/h2_030_6.00A.xyz
31,8.00000000,15.117809003663,geometries/h2_031_8.00A.xyz
